,MODEL,F1_TRAIN,F1_TEST,ACC_TRAIN,  ACC_TEST  ,EPOCHS,Precision,Recall,Optimal_Threshold
67,"L= 3, N=10, LR=0.001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6238589864652186,0.5905006418485237,0.850625,0.8405,39,0.6267029972752044,0.558252427184466,0.3475518822669983
68,"L= 4, N=10, LR=0.001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.623069936421435,0.6007326007326007,0.844375,0.8365,48,0.6044226044226044,0.5970873786407767,0.30984529852867126
69,"L= 2, N=20, LR=0.001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6256914566687155,0.605,0.84775,0.842,33,0.6237113402061856,0.587378640776699,0.3312116861343384
70,"L= 3, N=20, LR=0.001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.6225755166931638,0.5891472868217054,0.851625,0.841,35,0.6298342541436464,0.5533980582524272,0.34594881534576416
71,"L= 4, N=20, LR=0.001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.628657616892911,0.6133004926108374,0.846125,0.843,42,0.6225,0.6043689320388349,0.3129746913909912
72,"L= 2, N=10, LR=0.001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6211562115621155,0.6007416563658838,0.846,0.8385,29,0.6120906801007556,0.5898058252427184,0.30526483058929443
73,"L= 3, N=10, LR=0.001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.631266686443192,0.6105006105006104,0.844625,0.8405,35,0.6142506142506142,0.6067961165048543,0.2820736765861511
74,"L= 4, N=10, LR=0.001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6451022276472383,0.5960591133004925,0.854625,0.836,36,0.605,0.587378640776699,0.3065645098686218
75,"L= 2, N=20, LR=0.001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6395906619763353,0.609724047306176,0.859125,0.8515,28,0.664756446991404,0.5631067961165048,0.3525124788284302
76,"L= 3, N=20, LR=0.001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6444715943799634,0.5866336633663367,0.8545,0.833,29,0.5984848484848485,0.5752427184466019,0.2967737317085266
77,"L= 4, N=20, LR=0.001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6456984273820536,0.606826801517067,0.856375,0.8445,41,0.633245382585752,0.5825242718446602,0.2789257764816284
78,"L= 2, N=10, LR=0.001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.61743264659271,0.6012738853503184,0.849125,0.8435,32,0.6327077747989276,0.5728155339805825,0.3467356562614441
79,"L= 3, N=10, LR=0.001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6249254621347645,0.6167076167076166,0.84275,0.844,36,0.6243781094527363,0.6092233009708737,0.2730954885482788
80,"L= 4, N=10, LR=0.001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6250820748522652,0.5964912280701754,0.85725,0.8505,34,0.6717325227963525,0.5364077669902912,0.3180665075778961
81,"L= 2, N=20, LR=0.001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6371120962634579,0.6106080206985769,0.85675,0.8495,34,0.6537396121883656,0.5728155339805825,0.333957314491272
82,"L= 3, N=20, LR=0.001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6425309849967383,0.6119205298013244,0.863,0.8535,32,0.673469387755102,0.5606796116504854,0.33892762660980225
83,"L= 4, N=20, LR=0.001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6344050381173351,0.6034712950600801,0.862125,0.8515,30,0.6706231454005934,0.5485436893203883,0.33477717638015747
84,"L= 2, N=10, LR=0.001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6366739062984796,0.6040100250626566,0.853625,0.842,36,0.6243523316062176,0.5849514563106796,0.32751017808914185
85,"L= 3, N=10, LR=0.001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6287605294825511,0.5980629539951574,0.84575,0.834,28,0.5966183574879227,0.5995145631067961,0.32580259442329407
86,"L= 4, N=10, LR=0.001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6466073073380412,0.6110397946084724,0.856125,0.8485,31,0.6485013623978202,0.5776699029126213,0.31990230083465576
87,"L= 2, N=20, LR=0.001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6429398148148149,0.6177514792899409,0.84575,0.8385,27,0.6027713625866051,0.633495145631068,0.2892876863479614
88,"L= 3, N=20, LR=0.001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6495623302143073,0.5936305732484077,0.854875,0.8405,26,0.6246648793565683,0.5655339805825242,0.32215484976768494
89,"L= 4, N=20, LR=0.001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6545012165450121,0.59727385377943,0.858,0.8375,24,0.610126582278481,0.5849514563106796,0.3146889805793762
90,"L= 2, N=10, LR=0.001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6219624730852046,0.6118836915297093,0.846375,0.8465,37,0.6385224274406333,0.587378640776699,0.34002822637557983
91,"L= 3, N=10, LR=0.001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6323226376214307,0.6002400960384153,0.843875,0.8335,43,0.5938242280285035,0.6067961165048543,0.30513471364974976
92,"L= 4, N=10, LR=0.001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6422018348623852,0.5857321652065081,0.85375,0.8345,51,0.6046511627906976,0.5679611650485437,0.30837133526802063
93,"L= 2, N=20, LR=0.001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6296918767507003,0.6102857142857143,0.83475,0.8295,27,0.5766738660907127,0.6480582524271845,0.28794506192207336
94,"L= 3, N=20, LR=0.001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6448377581120944,0.608904933814681,0.8495,0.8375,26,0.60381861575179,0.6140776699029126,0.29455190896987915
95,"L= 4, N=20, LR=0.001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6452016255079712,0.6104725415070243,0.858125,0.8475,27,0.6442048517520216,0.5800970873786407,0.3348369300365448
96,"L= 2, N=10, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6222364626722203,0.5796344647519582,0.852625,0.839,47,0.6271186440677966,0.5388349514563107,0.3448359966278076
97,"L= 3, N=10, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.5939429579535431,0.5625744934445769,0.827375,0.8165,21,0.5526932084309133,0.5728155339805825,0.3301403820514679
98,"L= 4, N=10, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.5172670807453416,0.5078125000000001,0.757125,0.748,21,0.42483660130718953,0.6310679611650486,0.25299814343452454
99,"L= 2, N=20, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6332070707070707,0.6056701030927835,0.85475,0.847,41,0.6456043956043956,0.5703883495145631,0.33623450994491577
100,"L= 3, N=20, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.615774469433006,0.5787451984635084,0.848375,0.8355,57,0.6124661246612466,0.5485436893203883,0.34713125228881836
101,"L= 4, N=20, LR=0.010000000000000002, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6154340836012862,0.5725388601036269,0.8505,0.835,45,0.6138888888888889,0.5364077669902912,0.352037250995636
102,"L= 2, N=10, LR=0.010000000000000002, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6307498424700694,0.6020671834625323,0.8535,0.846,38,0.643646408839779,0.5655339805825242,0.33490312099456787
